	R4_1	R3_3	R3_1	R4_2	R1_4	R2_2	R2_1	R3_4	R4_3	R3_2	R4_4	R2_3	R1_1	R1_2	R2_4	R1_3
OTU00147	10	3	2	2	1	2	4	0	4	0	5	0	4	0	1	1
OTU00148	11	10	7	8	13	7	8	12	16	10	21	5	11	12	7	16
OTU00149	16	7	15	16	13	9	16	14	11	8	24	7	16	15	11	12
OTU00150	11	4	23	9	0	0	0	5	7	7	19	0	0	0	0	0
OTU00151	18	4	4	2	0	0	2	1	3	0	5	0	1	0	0	0
OTU00152	55	21	83	34	0	0	0	28	87	26	112	0	0	0	0	0
OTU00153	431	371	380	448	531	290	470	342	514	513	678	470	577	544	393	622
OTU00154	732	1001	683	791	1709	555	973	734	1595	799	1223	511	1272	929	768	1252
OTU00155	16	11	22	25	18	19	13	20	34	11	32	7	23	11	8	17
OTU00156	33	17	54	26	0	0	0	16	43	16	50	0	0	0	0	0
OTU00157	109	68	89	104	73	68	90	64	90	76	119	79	69	92	50	78
OTU00158	21	31	25	23	33	25	38	29	35	25	37	21	36	25	31	38
OTU00159	119	132	129	145	253	57	142	82	426	128	213	69	171	131	110	157
OTU00160	119	140	96	118	240	86	127	94	220	108	193	92	200	143	112	184
OTU00161	179	223	35	119	217	106	156	26	221	36	265	99	241	659	62	161
OTU00162	237	155	154	169	137	118	185	137	208	143	289	86	192	185	90	134
OTU00163	54	46	23	51	84	44	61	40	83	40	63	33	69	49	40	54
OTU00164	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU00165	9	6	0	1	0	0	0	1	5	0	1	0	1	0	0	0
OTU00166	74	23	97	56	0	0	0	25	93	46	168	0	0	0	0	1
OTU00167	79	1	36	12	83	2	2	0	0	0	15	0	3	40	1	3
OTU00168	580	782	554	730	1163	484	797	518	1218	658	980	470	1017	787	628	1040
OTU00169	82	99	59	70	134	55	107	88	159	80	101	75	150	114	90	163
OTU00170	17	31	15	19	28	15	29	14	33	12	29	10	35	28	27	33
OTU00171	1	1	2	4	0	0	0	1	2	3	6	0	0	0	0	0
OTU00172	813	1517	1935	352	3566	543	389	701	181	25	2911	0	1112	1168	193	512
OTU00173	241	305	237	271	377	196	290	211	454	193	376	175	404	284	235	408
OTU00174	143	66	298	143	14	8	7	100	290	116	325	4	3	12	5	4
OTU00175	119	159	85	143	211	71	150	108	261	119	202	99	206	128	113	165
OTU00176	15	15	8	11	18	4	7	7	26	11	16	6	15	11	8	13
OTU00177	8	0	3	0	5	0	2	1	0	0	0	1	12	11	0	0
OTU00178	143	119	0	180	240	372	180	192	272	82	389	140	363	244	0	231
OTU00179	201	322	193	229	510	186	345	223	483	217	425	206	368	283	226	376
OTU00180	6	7	10	15	14	6	12	12	18	5	16	3	11	9	6	13
OTU00181	229	117	494	213	0	0	1	147	419	190	555	0	0	0	0	0
OTU00182	970	254	92	120	0	0	0	60	310	40	270	0	0	0	0	0
OTU00183	98	29	127	89	0	0	0	37	118	49	177	0	0	0	0	0
OTU00184	755	819	795	837	1184	539	935	675	1032	672	1290	816	961	964	733	1084
OTU00185	53	4	3	6	0	1	2	3	10	1	8	0	0	0	1	1
OTU00186	322	102	196	35	658	80	29	57	14	5	326	3	156	235	22	33
OTU00187	2	0	1	1	1	0	0	0	1	2	3	0	0	0	0	0
OTU00188	102	129	77	101	197	57	135	120	211	101	182	71	187	131	97	203
OTU00189	1016	1149	1251	883	1368	1299	1134	1336	1151	156	772	376	2271	5131	510	2481
OTU00190	7	0	2	0	4	1	3	0	0	0	1	0	2	1	0	0
OTU00191	14	21	34	36	55	20	25	30	35	39	35	21	32	25	37	40
OTU00192	60	12	36	12	126	20	4	1	0	0	19	0	13	77	2	3
OTU00193	88	85	78	103	115	40	86	62	103	98	113	73	86	90	46	78
OTU00194	3	0	0	1	4	0	1	0	0	0	1	0	0	3	0	0
OTU00195	256	363	242	290	677	171	305	290	566	301	444	199	408	324	290	439
OTU00196	43	10	5	4	9	38	46	13	13	2	20	3	51	8	4	2
OTU00197	2	1	0	1	0	0	0	0	0	0	7	0	0	0	0	0
OTU00198	75	112	74	91	152	63	107	90	162	91	160	66	162	107	113	149
OTU00199	199	215	304	263	353	164	300	201	332	264	333	203	248	227	205	340
OTU00200	10	30	15	7	23	7	15	12	23	14	30	12	17	11	6	14
OTU00201	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU00202	2	1	0	0	4	0	4	2	2	3	1	1	2	1	2	3
OTU00203	10	3	10	3	0	0	0	2	7	4	13	0	0	0	0	0
OTU00204	15	21	19	20	32	14	19	12	34	19	27	10	17	15	16	28
OTU00205	95	50	125	25	262	38	21	11	9	5	119	0	40	135	6	10
