	R4_1	R3_3	R3_1	R4_2	R1_4	R2_2	R2_1	R3_4	R4_3	R3_2	R4_4	R2_3	R1_1	R1_2	R2_4	R1_3
OTU06188	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06189	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06190	0	2	2	0	1	1	2	0	0	0	2	0	2	1	1	0
OTU06191	0	1	1	0	2	0	3	2	2	1	1	0	0	0	2	0
OTU06192	0	3	2	0	1	0	1	0	0	0	2	0	1	3	2	4
OTU06193	0	2	0	0	2	1	3	1	1	1	2	0	2	2	2	3
OTU06194	0	3	0	0	1	0	0	0	0	2	1	2	2	0	0	0
OTU06195	0	1	1	0	0	0	0	0	2	0	2	0	0	0	0	0
OTU06196	0	1	2	0	0	0	1	1	0	1	0	2	1	0	0	0
OTU06197	0	4	2	1	5	1	0	1	2	1	2	2	0	1	5	5
OTU06198	0	1	0	1	0	0	0	0	3	0	0	0	2	2	1	0
OTU06199	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06200	0	4	0	2	4	2	3	0	4	2	4	1	2	0	1	3
OTU06201	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0
OTU06202	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06203	0	2	0	0	1	0	3	1	4	3	2	0	3	1	1	0
OTU06204	0	2	0	5	0	1	0	0	1	0	0	0	1	4	0	5
OTU06205	0	2	2	0	0	0	0	0	0	0	2	0	2	0	1	0
OTU06206	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0
OTU06207	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU06208	0	4	1	0	1	2	4	0	3	1	3	2	3	2	0	0
OTU06209	0	2	0	0	0	0	0	0	0	1	0	0	2	0	1	1
OTU06210	0	3	2	1	2	1	1	1	2	1	0	0	4	0	0	1
OTU06211	0	6	1	0	0	0	0	0	0	0	5	0	0	0	0	0
OTU06212	0	2	0	0	2	1	0	0	1	0	1	0	0	3	0	0
OTU06213	0	1	0	0	3	1	1	1	0	0	1	0	3	2	1	2
OTU06214	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU06215	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU06216	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU06217	0	1	1	5	0	1	1	1	0	0	3	0	2	2	1	0
OTU06218	0	1	0	1	1	1	0	0	1	0	1	0	0	1	1	0
OTU06219	0	1	0	0	1	0	0	0	2	0	1	0	0	0	2	0
OTU06220	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06221	0	1	0	0	0	0	0	1	0	2	0	0	0	3	0	1
OTU06222	0	1	2	0	2	0	0	0	0	0	4	0	2	1	0	0
OTU06223	0	4	0	0	0	0	0	1	1	1	0	1	2	0	1	3
OTU06224	0	2	0	4	1	0	0	0	1	0	1	2	3	1	3	5
OTU06225	0	9	18	1	20	4	0	8	0	0	52	0	23	1	1	16
OTU06226	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU06227	0	15	0	0	0	2	0	0	0	0	1	1	2	0	0	0
OTU06228	0	1	1	1	1	0	0	1	3	0	1	0	0	1	1	1
OTU06229	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU06230	0	1	0	1	1	2	1	0	0	0	1	1	1	1	0	0
OTU06231	0	2	1	1	1	1	0	1	0	1	2	0	0	0	1	1
OTU06232	0	2	1	0	3	0	2	0	0	0	0	0	0	1	0	0
OTU06233	0	1	1	0	1	0	0	0	3	0	0	0	2	0	1	2
OTU06234	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0
OTU06235	0	1	0	0	2	1	0	1	1	1	0	2	2	0	0	1
OTU06236	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06237	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0
OTU06238	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0
OTU06239	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0
OTU06240	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0
OTU06241	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06242	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0
OTU06243	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06244	0	10	1	4	33	0	0	0	0	2	0	2	0	19	10	1
OTU06245	0	32	0	0	0	0	1	0	0	1	13	0	0	0	0	0
OTU06246	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU06247	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU06248	0	1	1	0	2	0	0	0	0	0	2	0	3	0	0	2
OTU06249	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06250	0	4	1	0	2	0	2	0	0	1	1	0	0	0	1	0
OTU06251	0	2	1	0	1	0	2	2	4	0	0	1	2	0	2	0
OTU06252	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06253	0	3	1	1	2	1	1	2	1	0	2	1	0	3	1	2
OTU06254	0	3	0	0	0	0	2	0	2	2	2	0	2	1	0	2
OTU06255	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU06256	0	11	0	0	8	0	0	1	0	0	12	0	1	1	0	0
OTU06257	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06258	0	2	1	1	0	0	0	0	1	0	2	1	0	0	0	0
OTU06259	0	1	0	1	0	0	0	3	3	0	1	0	0	1	1	0
OTU06260	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06261	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0
OTU06262	0	3	4	1	3	2	1	1	5	2	2	0	4	4	5	2
OTU06263	0	2	2	2	3	0	0	0	1	1	2	0	0	2	0	1
OTU06264	0	1	1	0	8	1	0	0	0	0	0	0	1	2	0	1
OTU06265	0	3	0	0	1	1	2	2	2	2	1	1	1	0	0	0
OTU06266	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0
OTU06267	0	2	0	0	1	0	0	1	0	0	1	0	2	0	0	3
OTU06268	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0
OTU06269	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1
OTU06270	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU06271	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU06272	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06273	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06274	0	2	0	0	1	0	3	1	1	0	1	0	2	0	1	1
OTU06275	0	2	0	0	0	0	0	1	3	1	1	0	5	3	1	2
OTU06276	0	1	2	1	0	0	1	1	4	1	2	0	0	0	0	0
OTU06277	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU06278	0	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0
OTU06279	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU06280	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU06281	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06282	0	1	2	1	4	0	1	0	3	0	2	0	0	2	2	2
OTU06283	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU06284	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU06285	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU06286	0	3	2	0	1	1	3	2	5	4	2	2	5	3	3	2
OTU06287	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1
OTU06288	0	5	1	1	1	0	0	0	0	0	1	1	1	1	0	3
OTU06289	0	4	0	0	4	0	0	1	0	0	7	0	0	0	0	0
OTU06290	0	1	2	0	0	1	1	0	0	0	1	2	0	0	1	1
OTU06291	0	1	15	1	1	0	0	1	2	0	1	0	1	0	0	2
OTU06292	0	2	0	2	1	0	0	0	0	1	0	0	0	3	1	0
OTU06293	0	4	3	3	5	1	5	4	7	4	10	5	4	2	4	6
OTU06294	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06295	0	2	17	0	26	0	0	0	0	0	17	0	2	3	0	1
OTU06296	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU06297	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1
OTU06298	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU06299	0	1	0	1	2	0	1	0	0	0	0	1	0	0	0	0
OTU06300	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0
OTU06301	0	3	0	6	5	1	0	0	8	0	2	2	2	21	2	16
OTU06302	0	1	4	0	3	1	0	0	0	0	2	0	2	3	0	1
OTU06303	0	1	0	1	2	0	0	0	2	4	3	0	2	3	1	2
OTU06304	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0
OTU06305	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0
OTU06306	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
OTU06307	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06308	0	1	0	0	3	0	2	0	3	0	0	0	1	0	0	0
OTU06309	0	2	0	0	3	0	0	0	0	0	2	0	4	1	0	2
OTU06310	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06311	0	10	0	1	5	0	0	0	0	0	7	0	0	0	1	0
OTU06312	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU06313	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0
OTU06314	0	1	5	2	1	0	0	1	3	3	8	0	0	1	2	0
OTU06315	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1	1
OTU06316	0	6	9	1	67	0	0	0	0	0	13	0	0	15	0	0
OTU06317	0	3	2	2	1	0	0	0	3	1	4	0	1	1	0	0
OTU06318	0	2	0	0	1	1	1	2	1	3	1	0	1	0	0	2
OTU06319	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06320	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
OTU06321	0	1	0	0	5	0	3	0	2	1	4	1	1	0	3	1
OTU06322	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU06323	0	1	0	0	1	0	0	3	1	0	3	0	1	1	0	0
OTU06324	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06325	0	2	0	2	0	0	0	1	2	1	0	3	2	2	3	3
OTU06326	0	4	3	2	5	1	2	2	10	3	4	3	7	3	4	6
OTU06327	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06328	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06329	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU06330	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU06331	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06332	0	2	1	0	0	0	2	0	0	0	0	0	0	0	1	0
OTU06333	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU06334	0	1	2	2	6	0	3	2	4	2	0	0	5	1	1	1
OTU06335	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0
OTU06336	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0
OTU06337	0	4	2	0	4	0	2	0	2	1	2	1	5	5	2	1
OTU06338	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU06339	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
OTU06340	0	5	1	1	6	3	3	1	5	3	5	1	5	3	1	1
OTU06341	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU06342	0	7	0	4	18	0	0	0	0	1	0	3	0	11	6	1
OTU06343	0	1	0	3	1	0	0	0	0	0	0	0	2	1	0	1
OTU06344	0	2	0	1	0	0	0	1	2	0	2	0	0	0	0	2
OTU06345	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06346	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06347	0	5	4	4	2	2	0	4	1	5	4	0	2	1	0	1
OTU06348	0	1	0	0	1	0	1	0	0	0	0	1	1	2	0	1
OTU06349	0	1	1	1	2	1	1	3	1	1	0	0	0	0	2	1
OTU06350	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0
OTU06351	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU06352	0	1	0	2	2	0	1	0	0	0	1	2	0	1	1	4
OTU06353	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
OTU06354	0	2	1	0	3	0	1	0	0	0	0	0	6	4	0	0
OTU06355	0	1	2	0	0	0	0	0	0	2	0	2	3	0	0	1
OTU06356	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0
OTU06357	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0
OTU06358	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0
OTU06359	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1
OTU06360	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0
OTU06361	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06362	0	5	2	1	3	1	3	1	6	0	2	2	2	4	2	2
OTU06363	0	4	2	1	2	2	4	0	2	3	5	5	4	5	3	9
OTU06364	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06365	0	3	1	0	0	0	2	0	0	0	0	1	3	2	0	1
OTU06366	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0
OTU06367	0	5	3	1	0	0	0	1	2	1	5	0	0	0	0	0
OTU06368	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06369	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06370	0	4	0	1	3	0	3	3	1	2	1	0	2	0	0	7
OTU06371	0	2	1	0	13	0	0	0	0	0	2	1	0	0	0	0
OTU06372	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0
OTU06373	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
OTU06374	0	3	0	0	3	0	0	0	3	0	0	0	0	1	1	1
OTU06375	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06376	0	2	0	1	0	2	2	0	0	1	0	1	2	0	0	1
OTU06377	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06378	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0
OTU06379	0	8	0	0	0	0	0	0	0	0	19	0	0	0	0	0
OTU06380	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
OTU06381	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0
OTU06382	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU06383	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU06384	0	1	0	0	2	0	2	0	0	0	1	1	0	0	0	0
OTU06385	0	4	0	1	0	3	0	0	0	0	0	0	1	0	1	0
OTU06386	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU06387	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06388	0	1	0	0	2	1	0	0	3	0	0	0	0	0	0	1
OTU06389	0	2	1	1	0	0	0	1	3	1	0	0	0	0	0	0
OTU06390	0	2	11	0	6	5	4	1	0	0	20	0	16	1	1	3
OTU06391	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06392	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06393	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0
OTU06394	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06395	0	1	0	1	0	0	0	0	1	2	2	1	0	0	0	2
OTU06396	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06397	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU06398	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU06399	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06400	0	1	1	0	8	2	0	0	0	1	2	0	0	1	0	0
OTU06401	0	1	2	0	1	0	1	0	0	1	3	0	0	0	0	0
OTU06402	0	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0
OTU06403	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06404	0	2	2	0	0	1	0	0	0	0	0	0	2	0	1	1
OTU06405	0	4	1	0	2	0	0	1	0	0	9	0	0	1	0	0
OTU06406	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06407	0	6	0	0	0	0	0	0	0	1	4	0	0	0	0	0
OTU06408	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0
OTU06409	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06410	0	2	0	1	3	1	0	0	1	0	0	0	0	0	0	3
OTU06411	0	2	2	2	1	1	1	0	0	0	3	0	4	0	1	1
OTU06412	0	2	1	2	1	2	0	0	0	1	1	1	1	1	2	1
OTU06413	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1
OTU06414	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06415	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06416	0	4	1	2	5	1	0	3	5	0	1	1	0	4	0	3
OTU06417	0	2	0	0	1	1	0	0	1	0	0	0	0	1	0	0
OTU06418	0	1	0	0	0	0	1	0	0	1	2	0	1	1	1	1
OTU06419	0	1	2	2	0	0	1	0	1	1	1	0	1	1	0	0
OTU06420	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU06421	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU06422	0	1	0	0	1	0	0	2	2	0	0	0	0	2	1	0
OTU06423	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06424	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU06425	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0
OTU06426	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0
OTU06427	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU06428	0	3	4	1	3	0	0	1	2	1	2	3	0	0	2	0
OTU06429	0	1	0	0	2	1	0	0	0	0	0	0	1	2	0	0
OTU06430	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU06431	0	3	2	0	3	0	0	0	0	0	2	0	1	2	0	0
OTU06432	0	1	0	0	2	0	1	1	3	0	0	1	1	0	1	1
OTU06433	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU06434	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU06435	0	2	5	0	11	2	0	0	0	0	4	0	1	5	0	0
OTU06436	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU06437	0	1	2	0	11	0	3	0	0	0	4	0	2	1	0	1
OTU06438	0	2	2	5	5	0	0	3	4	2	9	3	1	1	1	3
OTU06439	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU06440	0	3	12	4	0	0	0	2	8	7	9	0	1	0	0	0
OTU06441	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU06442	0	2	2	2	6	2	1	1	2	3	4	3	1	2	1	2
OTU06443	0	1	1	4	0	0	2	2	3	0	2	0	0	3	1	3
OTU06444	0	1	0	0	5	0	0	0	0	0	0	0	3	0	0	1
OTU06445	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06446	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06447	0	2	1	0	2	1	5	3	1	2	3	1	1	1	1	2
OTU06448	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06449	0	1	1	1	3	0	0	0	3	0	1	0	1	0	1	5
OTU06450	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06451	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU06452	0	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0
OTU06453	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU06454	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0
OTU06455	0	2	2	0	3	0	0	2	1	1	0	0	3	1	1	0
OTU06456	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0
OTU06457	0	1	2	0	0	1	1	0	0	2	1	0	0	0	1	1
OTU06458	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0
OTU06459	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0
OTU06460	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0
OTU06461	0	1	0	0	2	1	2	0	0	0	0	1	1	1	0	1
OTU06462	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU06463	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06464	0	1	1	0	3	0	1	0	0	0	0	0	0	0	0	1
OTU06465	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06466	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU06467	0	2	2	1	5	1	1	2	1	0	4	0	2	0	0	0
OTU06468	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06469	0	2	1	0	1	0	0	0	0	0	1	0	1	1	0	0
OTU06470	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0
OTU06471	0	1	1	0	0	1	0	1	0	0	1	0	1	1	0	1
OTU06472	0	3	1	1	4	2	1	1	0	0	3	1	1	0	1	1
OTU06473	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0
OTU06474	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU06475	0	1	2	1	1	0	0	0	0	3	0	0	0	0	0	0
OTU06476	0	4	0	0	4	2	2	1	1	0	3	0	1	3	1	4
OTU06477	0	1	1	2	1	0	0	1	0	0	2	1	0	0	2	0
OTU06478	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06479	0	2	0	1	1	1	0	0	3	1	3	0	1	0	0	0
OTU06480	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
OTU06481	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU06482	0	4	1	5	5	0	4	1	5	0	2	2	3	0	2	2
OTU06483	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06484	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06485	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06486	0	1	0	0	1	0	3	1	0	0	1	0	2	1	1	0
OTU06487	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU06488	0	1	0	0	2	0	0	0	1	0	0	0	3	2	0	2
OTU06489	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU06490	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	0
OTU06491	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU06492	0	1	0	0	1	1	1	2	0	1	0	1	1	0	0	2
OTU06493	0	2	0	0	1	3	0	0	3	0	3	1	0	0	0	1
OTU06494	0	1	3	0	0	0	0	2	4	2	3	0	0	0	0	0
OTU06495	0	4	2	0	0	0	0	1	0	0	2	0	0	0	0	0
OTU06496	0	4	2	2	7	0	1	3	5	4	4	2	8	3	3	5
OTU06497	0	4	2	1	0	1	2	0	4	1	0	0	2	1	1	1
OTU06498	0	2	1	1	0	1	0	1	0	0	1	0	0	0	0	0
OTU06499	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU06500	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06501	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU06502	0	4	2	2	3	0	0	5	4	1	0	1	0	1	2	0
OTU06503	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06504	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	1
OTU06505	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2
OTU06506	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU06507	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06508	0	1	1	0	2	0	0	0	0	0	1	0	0	1	0	0
OTU06509	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06510	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06511	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
OTU06512	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU06513	0	2	3	0	5	0	0	0	0	0	5	0	0	0	0	0
OTU06514	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU06515	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU06516	0	1	0	0	0	0	0	3	1	2	1	0	0	0	0	0
OTU06517	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	2
OTU06518	0	4	0	0	1	1	1	1	4	4	2	0	2	1	2	1
OTU06519	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06520	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06521	0	13	1	1	5	0	0	0	0	0	3	0	1	1	0	0
OTU06522	0	2	0	0	1	0	1	5	2	1	3	0	1	0	0	0
OTU06523	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06524	0	2	0	2	1	1	4	1	6	2	1	0	0	2	2	3
OTU06525	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06526	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1
OTU06527	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU06528	0	2	0	2	2	1	0	0	4	2	2	1	3	1	0	1
OTU06529	0	1	0	2	4	0	1	0	1	1	0	0	0	0	0	0
OTU06530	0	2	1	0	2	0	0	0	1	0	2	0	0	0	0	0
OTU06531	0	1	1	0	2	2	1	1	1	0	1	0	1	0	0	1
OTU06532	0	1	3	1	0	0	0	0	0	0	2	0	0	0	0	0
OTU06533	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06534	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0
OTU06535	0	2	1	0	2	2	1	1	2	3	2	1	2	2	0	0
OTU06536	0	4	1	1	1	1	2	2	3	1	1	0	2	0	1	1
OTU06537	0	5	0	1	0	0	1	0	0	1	0	0	0	1	0	0
OTU06538	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	3
OTU06539	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06540	0	2	1	0	1	0	0	0	0	0	0	1	0	2	0	1
OTU06541	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06542	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU06543	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
OTU06544	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
OTU06545	0	3	0	0	0	1	0	0	0	0	0	0	0	3	0	1
OTU06546	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06547	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU06548	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU06549	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU06550	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0
OTU06551	0	1	1	1	0	0	1	1	2	0	1	0	1	2	1	0
OTU06552	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0
OTU06553	0	4	0	0	1	1	1	1	1	0	0	0	2	0	1	0
